match_no,day_of_week,date,hour,venue,referee,group,1,2,attendance,1_xg,2_xg,1_poss,2_poss,1_goals,2_goals,score,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_ontarget,2_ontarget,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_yellow_cards,2_yellow_cards,1_red_cards,2_red_cards,faul_against_1,faul_against_2,1_offsides,2_offsides,1_passes,2_passes,1_passes_compeletd,2_passes_compeletd,1_corners,2_corners,1_free_kicks,2_free_kicks,1_panelties_scored,2_panelties_scored,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_forced_turnovers,2_forced_turnovers,1_defensive_pressure_applied,2_defensive_pressure_applied
1,Sun,20-Nov-22,17:00,Al Bayt Stadium,Daniele Orsato,Group A,QATAR,ECUADOR,67372,0.3,1.2,47,53,0,2,"0,2",5,6,2,0,0,2,0,0,0,3,5,3,2,4,3,2,4,2,0,0,15,15,3,4,450,480,381,409,1,3,19,17,0,1,6,5,0,0,52,72,256,279
2,Mon,21-Nov-22,14:00,Khalifa International Stadium,Raphael Claus,Group B,ENGLAND,IRAN,45334,2.1,1.4,77,23,6,2,"6,2",13,8,2,6,6,2,0,0,7,3,3,4,10,6,3,2,0,2,0,0,9,14,2,2,809,224,730,154,8,0,16,10,0,1,8,13,0,0,63,72,139,416
3,Mon,21-Nov-22,17:00,Al Thumama Stadium,Wilton Sampaio,Group A,SENEGAL,NETHERLANDS,41721,0.9,0.7,46,54,0,2,"0,2",14,9,2,0,0,2,0,0,3,3,8,5,7,5,7,4,2,1,0,0,13,13,2,1,383,438,313,374,6,7,14,14,0,0,9,15,0,0,63,73,263,251
4,Mon,21-Nov-22,20:00,Ahmed bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,Group B,UNITED STATES,WALES,43418,0.8,1.5,58,42,1,1,"1,1",6,7,1,1,1,1,0,0,1,3,4,3,4,5,2,2,4,2,0,0,15,10,1,1,569,409,509,321,5,3,11,15,0,1,7,7,0,0,81,72,242,292
5,Tue,22-Nov-22,11:00,Lusail Iconic Stadium,Slavko Vincic,Group C,ARGENTINA,SAUDI ARABIA,88012,2.2,0.1,69,31,1,2,"1,2",14,3,2,1,1,2,0,0,6,2,5,0,10,3,4,0,0,6,0,0,7,21,10,1,610,267,529,190,9,2,22,16,1,0,4,14,0,0,65,80,163,361
6,Tue,22-Nov-22,14:00,Education City Stadium,Cesar Ramos,Group D,DENMARK,TUNISIA,42925,1.4,0.9,61,39,0,0,"0,0",11,11,0,0,0,0,0,0,4,1,4,7,7,6,4,5,2,1,0,0,9,10,1,1,594,387,523,302,11,9,11,10,0,0,11,11,0,0,76,73,226,287
7,Tue,22-Nov-22,17:00,Stadium 974,Chris Beath,Group C,MEXICO,POLAND,39369,0.7,0.9,60,40,0,0,"0,0",13,8,0,0,0,0,0,0,4,1,5,4,10,7,3,1,2,1,0,0,14,16,3,0,485,322,422,241,6,5,16,16,0,0,8,15,0,0,61,70,193,290
8,Tue,22-Nov-22,20:00,Al Janoub Stadium,Victor Gomes,Group D,FRANCE,AUSTRALIA,40875,4,0.5,62,38,4,1,"4,1",22,4,1,4,4,1,0,0,7,1,9,3,18,2,4,2,0,3,0,0,5,11,0,0,734,466,672,399,8,1,11,5,0,0,4,22,0,0,64,56,250,316
9,Wed,23-Nov-22,11:00,Al Bayt Stadium,Fernando Rapallini,Group F,MOROCCO,CROATIA,59407,0.4,0.5,36,64,0,0,"0,0",8,6,0,0,0,0,0,0,2,2,0,2,3,4,5,2,1,0,0,0,17,11,0,1,360,667,290,592,0,5,12,17,0,0,7,8,0,0,87,58,391,217
10,Wed,23-Nov-22,14:00,Khalifa International Stadium,Ivan Barton,Group E,GERMANY,JAPAN,42608,3.1,1.5,74,26,1,2,"1,2",25,10,2,1,1,2,0,0,9,3,11,6,15,10,10,0,0,0,0,0,6,14,4,4,820,261,743,207,6,6,17,10,1,0,12,26,0,0,55,87,164,487
11,Wed,23-Nov-22,17:00,Al Thumama Stadium,Mohammed Abdulla Hassan,Group E,SPAIN,COSTA RICA,40013,3.5,0,81,19,7,0,"7,0",17,0,0,7,7,0,0,0,7,0,8,0,12,0,5,0,0,2,0,0,8,12,3,7,1061,231,1003,170,5,0,18,11,1,0,0,17,0,0,46,76,185,585
12,Wed,23-Nov-22,20:00,Ahmed bin Ali Stadium,Janny Sikazwe,Group F,BELGIUM,CANADA,40432,0.8,2.4,53,47,1,0,"1,0",9,21,0,1,1,0,0,0,3,4,6,12,6,16,3,5,3,2,0,0,11,14,0,1,512,448,439,382,4,4,15,10,0,0,21,9,0,0,74,47,284,320
13,Thu,24-Nov-22,11:00,Al Janoub Stadium,Facundo Tello,Group G,SWITZERLAND,CAMEROON,39089,1.4,0.7,51,49,1,0,"1,0",8,7,0,1,1,0,0,0,3,3,4,2,6,6,2,1,2,1,0,0,12,10,2,2,497,500,437,424,11,5,11,14,0,0,7,8,0,0,64,79,313,316
14,Thu,24-Nov-22,14:00,Education City Stadium,Clement Turpin,Group H,URUGUAY,KOREA REPUBLIC,41663,0.6,0.6,56,44,0,0,"0,0",10,6,0,0,0,0,0,0,0,0,6,5,7,1,3,5,1,1,0,0,7,10,1,0,528,419,459,340,4,3,10,8,0,0,6,10,0,0,65,54,240,231
15,Thu,24-Nov-22,17:00,Stadium 974,Ismail Elfath,Group H,PORTUGAL,GHANA,42662,2,0.9,62,38,3,2,"3,2",11,8,2,3,3,2,0,0,5,3,3,5,7,2,4,6,2,4,0,0,14,19,1,1,636,394,573,326,3,3,19,15,1,0,8,11,0,0,70,82,286,326
16,Thu,24-Nov-22,20:00,Lusail Iconic Stadium,Alireza Faghani,Group G,BRAZIL,SERBIA,88103,2.4,0.2,59,41,2,0,"2,0",24,4,0,2,2,0,0,0,10,0,9,3,11,1,13,3,0,3,0,0,7,12,1,0,585,403,526,341,6,4,12,8,0,0,4,24,0,0,72,71,236,338
17,Fri,25-Nov-22,11:00,Ahmed bin Ali Stadium,Mario Escobar,Group B,WALES,IRAN,40875,0.9,1.4,62,38,0,2,"0,2",10,21,2,0,0,1,0,1,3,6,4,6,5,7,5,14,1,2,1,0,9,10,2,2,508,295,413,202,2,7,12,11,0,0,21,9,0,0,89,84,161,276
18,Fri,25-Nov-22,14:00,Al Thumama Stadium,Antonio Mateu Lahoz,Group A,QATAR,SENEGAL,41797,1,0.8,45,55,1,3,"1,3",10,12,3,1,1,3,0,0,2,4,7,6,4,10,6,2,3,3,0,0,7,12,4,3,424,511,353,445,6,7,15,11,0,0,12,11,0,0,67,67,308,232
19,Fri,25-Nov-22,17:00,Khalifa International Stadium,Mustapha Ghorbal,Group A,NETHERLANDS,ECUADOR,44833,0.1,1.7,54,46,1,1,"1,1",2,13,1,1,0,1,1,0,1,5,1,3,0,8,2,5,0,1,0,0,15,12,1,4,524,425,451,345,2,5,16,16,0,0,14,2,0,0,85,52,254,279
20,Fri,25-Nov-22,20:00,Al Bayt Stadium,Jesús Valenzuela Sáez,Group B,ENGLAND,UNITED STATES,68463,0.8,0.6,55,45,0,0,"0,0",8,10,0,0,0,0,0,0,3,2,4,7,6,6,2,4,0,0,0,0,9,15,1,0,550,427,488,368,3,7,15,10,0,0,10,8,0,0,52,61,266,350
21,Sat,26-Nov-22,11:00,Al Janoub Stadium,Daniel Siebert,Group D,TUNISIA,AUSTRALIA,41823,0.9,0.6,59,41,0,1,"0,1",13,8,1,0,0,1,0,0,4,2,5,3,9,5,4,3,3,0,0,0,16,15,3,0,501,334,396,239,5,2,15,19,0,0,9,13,0,0,81,88,217,273
22,Sat,26-Nov-22,14:00,Education City Stadium,Wilton Sampaio,Group C,POLAND,SAUDI ARABIA,44259,1.6,1.7,37,63,2,0,"2,0",8,16,0,2,2,0,0,0,3,5,3,9,8,9,0,7,3,2,0,0,18,15,0,0,303,560,236,494,4,5,15,17,0,0,16,9,0,0,69,53,329,173
23,Sat,26-Nov-22,17:00,Stadium 974,Szymon Marciniak,Group D,FRANCE,DENMARK,42860,2.4,0.6,49,51,2,1,"2,1",21,10,1,2,2,1,0,0,6,2,8,6,16,5,5,5,1,2,0,0,4,9,1,1,503,537,437,473,6,4,10,5,0,0,10,21,0,0,79,61,269,282
24,Sat,26-Nov-22,20:00,Lusail Iconic Stadium,Daniele Orsato,Group C,ARGENTINA,MEXICO,88966,0.3,0.3,58,42,2,0,"2,0",5,4,0,2,1,0,1,0,2,1,3,2,2,1,3,3,1,4,0,0,15,19,2,4,533,356,464,287,4,2,23,17,0,0,4,5,0,0,63,79,220,327
25,Sun,27-Nov-22,11:00,Ahmed bin Ali Stadium,Michael Oliver,Group E,JAPAN,COSTA RICA,41479,0.9,0.1,57,43,0,1,"0,1",14,4,1,0,0,1,0,0,3,1,4,1,7,1,7,3,3,3,0,0,22,9,0,2,575,444,510,371,5,0,11,22,0,0,4,14,0,0,47,66,300,294
26,Sun,27-Nov-22,14:00,Al Thumama Stadium,Cesar Ramos,Group F,BELGIUM,MOROCCO,43738,1,1.5,67,33,0,2,"0,2",10,11,2,0,0,2,0,0,4,4,6,6,5,6,5,5,1,1,0,0,10,14,3,3,671,317,598,275,9,1,17,13,0,0,11,10,0,0,38,78,194,360
27,Sun,27-Nov-22,17:00,Khalifa International Stadium,Andrés Matonte,Group F,CROATIA,CANADA,44374,2.6,0.4,49,51,4,1,"4,1",13,9,1,4,3,1,1,0,10,2,2,3,9,2,4,7,2,2,0,0,13,5,1,3,462,511,391,434,5,2,8,14,0,0,9,13,0,0,87,72,347,316
28,Sun,27-Nov-22,20:00,Al Bayt Stadium,Danny Makkelie,Group E,SPAIN,GERMANY,68895,0.6,1.3,64,36,1,1,"1,1",7,10,1,1,1,1,0,0,3,4,4,5,3,7,4,3,1,3,0,0,13,11,2,5,647,352,565,281,6,5,16,15,0,0,11,7,0,0,79,101,275,387
29,Mon,28-Nov-22,11:00,Al Janoub Stadium,Mohammed Abdulla Hassan,Group G,CAMEROON,SERBIA,39789,2.2,1.9,41,59,3,3,"3,3",13,16,3,3,3,2,0,1,8,6,3,8,9,11,4,5,2,2,0,0,8,13,0,4,364,513,271,433,4,3,17,8,0,0,16,13,0,0,83,81,285,234
30,Mon,28-Nov-22,14:00,Education City Stadium,Anthony Taylor,Group H,KOREA REPUBLIC,GHANA,43983,1.8,1.6,63,37,2,3,"2,3",21,8,3,2,2,3,0,0,6,3,8,3,15,7,6,1,2,2,0,0,13,9,1,1,540,319,477,260,12,5,10,14,0,0,8,21,0,0,53,75,220,324
31,Mon,28-Nov-22,17:00,Stadium 974,Ivan Barton,Group G,BRAZIL,SWITZERLAND,43649,1,0.3,54,46,1,0,"1,0",9,4,0,1,1,0,0,0,5,0,2,1,6,2,3,2,1,1,0,0,10,17,3,1,565,488,498,415,8,3,18,13,0,0,4,9,0,0,85,80,282,344
32,Mon,28-Nov-22,20:00,Lusail Iconic Stadium,Alireza Faghani,Group H,PORTUGAL,URUGUAY,88668,1.3,1.3,59,41,2,0,"2,0",14,10,0,2,1,0,1,0,4,3,7,6,4,6,10,4,3,2,0,0,10,16,2,0,596,390,517,306,6,2,15,13,1,0,11,14,0,0,68,81,226,362
33,Tue,29-Nov-22,16:00,Khalifa International Stadium,Clement Turpin,Group A,NETHERLANDS,QATAR,44569,0.9,2.1,61,39,2,0,"1,2",13,6,0,2,2,0,0,0,4,4,5,2,10,2,3,4,1,0,0,0,19,9,4,0,795,459,740,394,4,2,9,24,0,0,5,14,0,0,62,52,319,322
34,Tue,29-Nov-22,16:00,Al Bayt Stadium,Bakary Papa Gassama,Group A,ECUADOR,SENEGAL,66784,1.6,0.1,63,37,1,2,"2,0",8,15,2,1,1,2,0,0,4,5,3,8,5,11,3,4,0,1,0,0,23,11,0,3,432,269,353,198,3,6,14,22,0,1,15,8,0,0,59,62,190,243
35,Tue,29-Nov-22,20:00,Ahmed bin Ali Stadium,Slavko Vincic,Group B,WALES,ENGLAND,44297,0.3,2.4,36,64,0,3,"0,3",7,17,3,0,0,2,0,1,1,7,3,6,1,13,6,4,2,0,0,0,16,9,1,1,325,588,261,529,1,6,10,17,0,0,17,8,0,0,49,56,328,167
36,Tue,29-Nov-22,20:00,Al Thumama Stadium,Antonio Mateu Lahoz,Group B,IRAN,UNITED STATES,42127,0.4,1.2,49,51,0,1,"0,1",6,12,1,0,0,1,0,0,2,5,4,4,5,8,1,4,3,1,0,0,13,10,2,1,463,470,379,413,1,5,11,15,0,0,13,6,0,0,63,74,295,302
37,Wed,30-Nov-22,16:00,Al Janoub Stadium,Mustapha Ghorbal,Group D,AUSTRALIA,DENMARK,41232,0.6,0.6,32,68,1,0,"1,0",8,14,0,1,1,0,0,0,4,3,2,7,3,11,5,3,2,1,0,0,11,10,1,3,286,650,187,567,2,6,13,12,0,0,14,8,0,0,90,74,341,161
38,Wed,30-Nov-22,16:00,Education City Stadium,Matt Conger,Group D,TUNISIA,FRANCE,43627,0.5,0.8,35,65,1,0,"1,0",5,9,0,1,0,0,1,0,3,3,2,4,2,4,3,5,1,0,0,0,14,6,3,2,328,636,266,566,7,8,8,17,0,0,11,6,0,0,68,80,400,202
39,Wed,30-Nov-22,20:00,Lusail Iconic Stadium,Michael Oliver,Group C,POLAND,ARGENTINA,84985,1.1,2.3,40,60,0,2,"1,2",4,25,2,0,0,2,0,0,0,13,2,8,2,21,2,4,1,1,0,0,6,11,0,0,321,862,261,814,1,9,12,5,0,0,25,4,0,0,67,48,438,141
40,Wed,30-Nov-22,20:00,Stadium 974,Danny Makkelie,Group C,SAUDI ARABIA,MEXICO,44089,0.3,3.5,27,73,1,2,"0,2",10,25,2,1,1,1,0,1,2,10,8,8,6,10,4,15,6,1,0,0,20,18,2,6,297,412,197,336,1,8,23,22,0,0,26,10,0,0,82,76,269,229
41,Thu,1-Dec-22,16:00,Al Thumama Stadium,Raphael Claus,Group F,CROATIA,BELGIUM,43102,1.4,0.5,58,42,0,0,"1,2",11,15,0,0,0,0,0,0,4,4,5,7,7,12,4,3,0,1,0,0,7,9,4,0,578,596,504,531,2,4,9,11,0,0,16,11,0,0,70,68,328,346
42,Thu,1-Dec-22,16:00,Ahmed bin Ali Stadium,Anthony Taylor,Group F,CANADA,MOROCCO,43984,0.7,3,49,51,1,2,"0,0",5,7,2,1,0,1,0,1,0,2,4,2,4,4,1,3,4,0,0,0,14,14,4,4,539,384,472,308,6,2,18,18,0,0,7,7,0,1,66,72,224,324
43,Thu,1-Dec-22,20:00,Khalifa International Stadium,Victor Gomes,Group E,JAPAN,SPAIN,44851,1.4,1,18,82,2,1,"2,1",6,14,1,2,1,1,1,0,3,5,2,3,4,7,2,7,3,0,0,0,9,6,2,2,225,1070,167,992,0,2,8,11,0,0,14,6,0,0,85,49,637,150
44,Thu,1-Dec-22,20:00,Al Bayt Stadium,Stephanie Frappart,Group E,COSTA RICA,GERMANY,67054,1.3,5.7,32,68,2,4,"2,4",8,32,4,2,2,4,0,0,6,11,1,17,6,24,2,8,1,0,0,0,3,9,4,3,347,727,269,661,1,14,12,7,0,0,32,8,0,0,79,77,378,230
45,Fri,2-Dec-22,16:00,Al Janoub Stadium,Daniel Siebert,Group H,GHANA,URUGUAY,43443,1.6,1.8,51,49,0,2,"0,2",9,12,2,0,0,2,0,0,4,7,4,5,4,7,5,5,2,3,0,0,18,11,2,2,460,446,377,361,5,2,12,20,0,0,12,9,0,0,92,84,248,293
46,Fri,2-Dec-22,16:00,Education City Stadium,Facundo Tello,Group H,KOREA REPUBLIC,PORTUGAL,44097,1.7,1.3,39,61,2,1,"2,1",12,12,1,2,2,1,0,0,6,4,4,6,6,5,6,7,2,0,0,0,9,11,1,5,359,606,304,541,5,4,15,10,0,0,14,12,0,0,54,50,359,233
47,Fri,2-Dec-22,20:00,Stadium 974,Fernando Rapallini,Group G,SERBIA,SWITZERLAND,41378,1.3,2.7,54,46,2,3,"2,3",11,14,3,2,2,3,0,0,4,7,6,3,10,10,1,4,7,4,0,0,18,13,0,0,476,403,390,325,2,0,14,18,0,0,14,10,0,0,74,82,276,253
48,Fri,2-Dec-22,20:00,Lusail Iconic Stadium,Ismail Elfath,Group G,CAMEROON,BRAZIL,85986,0.5,2.5,35,65,1,0,"1,0",7,19,0,1,1,0,0,0,3,6,3,11,5,14,2,5,5,2,1,0,14,14,0,1,295,548,239,491,3,11,15,14,0,0,20,7,0,0,78,54,321,226
49,Sat,3-Dec-22,16:00,Khalifa International Stadium,Wilton Sampaio,Round of 16,NETHERLANDS,UNITED STATES,44846,1.7,1.5,42,58,3,1,"3,1",11,18,1,3,3,1,0,0,6,7,4,4,7,11,4,7,2,0,0,0,10,5,0,3,396,567,320,487,4,5,8,10,0,0,18,13,0,0,101,77,325,256
50,Sat,3-Dec-22,20:00,Ahmed bin Ali Stadium,Szymon Marciniak,Round of 16,ARGENTINA,AUSTRALIA,45032,1.6,0.6,60,40,2,1,"2,1",14,5,1,2,2,0,0,0,5,2,7,2,11,3,3,2,0,2,0,0,8,15,4,0,711,450,635,381,1,3,15,11,0,0,5,14,1,0,67,73,240,453
51,Sun,4-Dec-22,16:00,Al Thumama Stadium,Jesús Valenzuela Sáez,Round of 16,FRANCE,POLAND,40989,1.4,1.7,55,45,3,1,"3,1",16,11,1,3,3,1,0,0,7,3,7,5,10,8,6,3,1,2,0,0,10,8,3,1,540,466,481,391,7,1,8,11,0,1,11,16,0,0,71,64,220,297
52,Sun,4-Dec-22,20:00,Al Bayt Stadium,Ivan Barton,Round of 16,ENGLAND,SENEGAL,65985,1,0.8,61,39,3,0,"3,0",8,10,0,3,3,0,0,0,4,2,4,6,7,4,1,6,0,1,0,0,16,12,0,0,597,393,523,320,3,3,12,16,0,0,10,8,0,0,60,74,230,339
53,Mon,5-Dec-22,16:00,Al Janoub Stadium,Ismail Elfath,Round of 16,JAPAN,CROATIA,42523,1.2,1.4,42,58,1,1,"(1) 1,1 (3)",12,16,1,1,1,1,0,0,4,4,4,8,5,9,7,7,0,2,0,0,13,16,3,0,532,735,414,624,8,5,16,16,0,0,18,11,0,0,100,100,405,308
54,Mon,5-Dec-22,20:00,Stadium 974,Clement Turpin,Round of 16,BRAZIL,KOREA REPUBLIC,43847,3.6,0.5,53,47,4,1,"4,1",18,10,1,4,4,0,0,1,9,6,8,2,14,6,4,4,0,1,0,0,8,13,0,5,616,548,556,486,5,4,16,8,1,0,10,18,0,0,73,81,310,329
55,Tue,6-Dec-22,16:00,Education City Stadium,Fernando Rapallini,Round of 16,MOROCCO,SPAIN,44667,0.7,1,24,76,0,0,"(3) 0,0 (0)",6,13,0,0,0,0,0,0,3,1,3,6,3,9,3,4,1,1,0,0,15,14,5,4,323,1041,229,967,0,8,18,20,0,0,14,6,0,0,100,66,573,217
56,Tue,6-Dec-22,20:00,Lusail Iconic Stadium,Cesar Ramos,Round of 16,PORTUGAL,SWITZERLAND,83720,2.3,1.2,47,53,6,1,"6,1",14,10,1,6,6,1,0,0,9,1,2,7,9,5,5,5,0,2,0,0,12,10,3,3,461,512,392,436,6,6,13,15,0,0,10,15,0,0,71,54,357,240
57,Fri,9-Dec-22,16:00,Education City Stadium,Michael Oliver,Quarter-final,CROATIA,BRAZIL,43893,0.6,2.5,50,50,1,1,"(4) 1,1 (2)",9,20,1,1,1,1,0,0,1,11,4,4,5,12,4,8,2,3,0,0,22,24,3,3,715,695,632,625,3,7,27,25,0,0,21,9,0,0,95,77,365,423
58,Fri,9-Dec-22,20:00,Lusail Iconic Stadium,Antonio Mateu Lahoz,Quarter-final,NETHERLANDS,ARGENTINA,88235,0.6,1.9,52,48,2,2,"(3) 2,2 (4)",5,15,2,2,2,2,0,0,2,6,2,8,3,5,2,10,4,8,0,0,30,18,1,2,651,603,557,511,2,8,20,30,0,1,15,5,0,0,91,79,401,323
59,Sat,10-Dec-22,16:00,Al Thumama Stadium,Facundo Tello,Quarter-final,MOROCCO,PORTUGAL,44198,1.4,0.9,27,73,1,0,"1,0",9,11,0,1,1,0,0,0,3,3,6,6,5,7,4,4,3,1,1,0,15,9,2,2,229,678,171,592,3,9,11,17,0,0,11,10,0,0,88,44,373,165
60,Sat,10-Dec-22,20:00,Al Bayt Stadium,Wilton Sampaio,Quarter-final,ENGLAND,FRANCE,68895,2.4,0.9,57,43,1,2,"1,2",14,9,2,1,1,1,0,1,6,5,4,3,6,6,8,3,1,3,0,0,10,14,1,2,508,369,453,310,5,2,14,11,1,0,9,15,0,0,49,54,193,308
61,Tue,13-Dec-22,20:00,Lusail Iconic Stadium,Daniele Orsato,Semi-Final,ARGENTINA,CROATIA,88966,2.3,0.5,40,60,3,0,"3,0",10,12,0,3,3,0,0,0,7,3,2,7,7,6,3,6,2,2,0,0,15,8,1,0,408,624,344,551,2,4,6,16,1,0,12,10,0,0,85,63,321,260
62,Wed,14-Dec-22,20:00,Al Bayt Stadium,Cesar Ramos,Semi-Final,FRANCE,MOROCCO,68294,1.9,0.9,39,61,2,0,"2,0",14,13,0,2,2,0,0,0,2,1,8,6,12,8,2,5,0,1,0,0,11,11,4,3,358,583,307,518,2,3,13,15,0,0,13,14,0,0,72,47,328,218
63,Sat,17-Dec-22,16:00,Khalifa International Stadium,Abdulrahman Ibrahim Al Jassim,Play-off for third place,CROATIA,MOROCCO,44137,0.7,1.2,50,50,2,1,3,14,7,1,2,2,1,0,0,4,2,8,5,7,5,7,2,0,2,0,0,13,11,2,2,491,494,430,428,6,3,13,15,0,0,7,14,0,0,75,72,288,277
64,Sun,18-Dec-22,16:00,Lusail Iconic Stadium,Szymon Marciniak,Final,ARGENTINA,FRANCE,88966,3.3,2.2,54,46,3,3,3,21,10,3,3,3,3,0,0,9,5,9,3,10,7,11,3,4,3,0,0,26,19,4,4,648,516,544,419,6,5,22,28,1,2,11,21,0,0,87,104,280,409
